ID,Status,Title,Label,Security-Label,Url,PatchUrl
72323,closed,RegEx documentation error,"type-bug,docs", ,https://api.github.com/repos/python/cpython/issues/72323, 
72321,closed,socket.socket(fileno=fd) does not work as documented,"type-bug,extension-modules,3.7", ,https://api.github.com/repos/python/cpython/issues/72321, 
72318,closed,assert statements missed when loaded by zipimporter,"type-bug,stdlib,release-blocker,3.7",,https://api.github.com/repos/python/cpython/issues/72318, 
72310,closed,_PyDict_GetItem_KnownHash ignores DKIX_ERROR return,"type-bug,interpreter-core,3.7", ,https://api.github.com/repos/python/cpython/issues/72310, 
72309,closed,email.header.decode_header can not decode string with quotation,"type-bug,expert-email", ,https://api.github.com/repos/python/cpython/issues/72309, 
72308,closed,If module starts with comment or empty line then frame.f_code.co_firstlineno is inconsistent with inspect.findsource,"type-bug,interpreter-core", ,https://api.github.com/repos/python/cpython/issues/72308, 
72306,closed,Explicit null dereferenced in formatter_unicode.c,"type-bug,interpreter-core,3.7", ,https://api.github.com/repos/python/cpython/issues/72306, 
72298,closed,geometric_mean can raise OverflowError for large input length,"type-bug,stdlib,3.7",integer overflow,https://api.github.com/repos/python/cpython/issues/72298, 
72297,closed,launcher.msi has different product codes between 32 and 64-bit,"type-bug,OS-windows,3.7", ,https://api.github.com/repos/python/cpython/issues/72297, 
72288,closed,Add utf-8 alias to aliases.py dictionary,"type-bug,3.7,expert-email", ,https://api.github.com/repos/python/cpython/issues/72288, 
72285,closed,sys.getsizeof(0) is incorrect,"type-bug,interpreter-core", ,https://api.github.com/repos/python/cpython/issues/72285, 
72283,closed,set.difference() is not interruptible,"type-bug,interpreter-core,3.7", ,https://api.github.com/repos/python/cpython/issues/72283, 
72280,closed,ResourceWarning in test_ssl,"type-bug,tests", ,https://api.github.com/repos/python/cpython/issues/72280, 
72273,closed,test.test_getargs2.TupleSubclass test failure,"type-bug,interpreter-core,3.7,deferred-blocker", ,https://api.github.com/repos/python/cpython/issues/72273, 
72265,closed,Silence resource warnings in test_socket,"type-bug,tests", ,https://api.github.com/repos/python/cpython/issues/72265, 
72263,closed,Variable annotations should be mangled for private names,"type-bug,interpreter-core", ,https://api.github.com/repos/python/cpython/issues/72263, 
72262,closed,os.stat fails when access is denied,"type-bug,OS-windows,3.7", ,https://api.github.com/repos/python/cpython/issues/72262, 
72259,closed,Empty Strings are not parsed to None.,type-bug, ,https://api.github.com/repos/python/cpython/issues/72259, 
72257,closed,3.6 regression: re.compile not handling flags with X correctly,"type-bug,expert-regex,3.7", ,https://api.github.com/repos/python/cpython/issues/72257, 
72255,closed,Error in freeze.py due to unguarded sys.abiflags usage under Windows,"type-bug,OS-windows,3.8,3.7", ,https://api.github.com/repos/python/cpython/issues/72255, 
72254,closed,Do not call localtime (gmtime) in datetime module,type-bug, ,https://api.github.com/repos/python/cpython/issues/72254, 
72251,closed,String executed inside a function ignores global statements,type-bug, ,https://api.github.com/repos/python/cpython/issues/72251, 
72244,closed,Warnings (45) building Doc/library/email.*.rst,"type-bug,docs,expert-email", ,https://api.github.com/repos/python/cpython/issues/72244, 
72235,closed,Adjust class-build method of Enum so final ordered dict more closely resembles definition order,type-bug, ,https://api.github.com/repos/python/cpython/issues/72235, 
72234,closed,email set_content does not always use the correct  line length for the base64 CTE,"type-bug,expert-email", ,https://api.github.com/repos/python/cpython/issues/72234, 
72232,closed,minor inaccuracy in range_contains_long,"type-bug,docs,interpreter-core", ,https://api.github.com/repos/python/cpython/issues/72232, 
72230,closed,Sane defaults for SSLContext options and ciphers,"type-security,stdlib,extension-modules,3.7",security,https://api.github.com/repos/python/cpython/issues/72230, 
72228,closed,Inconsistent behavior: Get st_nlink from os.stat() and os.scandir(),"type-bug,OS-windows", ,https://api.github.com/repos/python/cpython/issues/72228, 
72221,closed,local var in "for v in iter" modify the uplevel var value.,"type-bug,interpreter-core", ,https://api.github.com/repos/python/cpython/issues/72221, 
72220,closed,dictobject.c comment misspelling,"type-bug,docs", ,https://api.github.com/repos/python/cpython/issues/72220, 
72216,closed,Replace and empty strings,"type-bug,interpreter-core,3.9", ,https://api.github.com/repos/python/cpython/issues/72216, 
